Unnamed: 0,번호,제목,저자,출판사,출판일
,23,Flow electrification in transformers: sensor prototype for electrostatic hazard,"Moreau, O.; Paillat, T.; Touchard, G.",Philadelphia; Institute of Physics; 1999,2004
,24,Power transistor-assisted Sen Transformer: a novel approach to power flow control,"Gasim Mohamed, S. E.; Jasni, J.; Radzi, M. A.; Hizam, H.","Elsevier Science B.V., Amsterdam.",2016
,25,A 5 GHz pHEMT Transformer-Coupled VCO,"Lai, P. W.; Long, S. I.","IEEE,",2005
,26,Nonlinear Recursive Regression Transformers: Dynamic Systems and Optimization,"Kirichenko, N. F.; Donchenko, V. S.; Serbaev, D. P.",Springer Science + Business Media,2005
,27,"""Did you just say transformers?"" A Child's agency and social actions in language-focused sequences","Nguyen, Hanh thi; Nguyen, Minh Thi Thuy","Elsevier Science B.V., Amsterdam.",2021
,28,Evaluation of utility transformers' lifespan with different levels of grid-connected photovoltaic systems penetration,"Manito, A. R.; Pinto, A.; Zilles, R.","Elsevier Science B.V., Amsterdam.",2016
,29,A Very Low Phase-Noise Transformer-Coupled Oscillator and PLL for 5G Communications in 0.12,"Wagner, Eric; Shana'a, Osama; Rebeiz, Gabriel M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,30,The Skin Tunnel Transformer: A New System that Permits Both High Efficiency Transfer of Power and Telemetry of Data Through the Intact Skin,"Andren, Carl F.; Fadali, Moneim Ahmed; Gott, Vincent L.; Topaz, Stephen R.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,1968
,31,TuP12 Precise Ratio Transformer: A New Concept of the Magnetic System,"Lee, R. D.; Kim, H. J.; Semenov, Y. P.",unknown,2002
,32,A Comparison of Single-Phase Transformer-Less PWM Frequency Changers with Unity Input Power Factor,"Nowicki, E.",IEEE,1994
,33,An Integrated Controllable Network Transformer&#x2014;Hybrid Active Filter System,"Das, D.; Kandula, R. P.; Munoz, J. A.; Divan, D.; Harley, R. G.; Schatz, J. E.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
,34,A half-bridge HTS transformer-rectifier flux pump with two AC field-controlled switches,J D D Gawith; J Geng; C Li; B Shen; X Zhang; J Ma; T A Coombs,IOP Publishing Ltd,2018
,35,Winding movement in power transformers: a comparison of FRA measurement connection methods,"Jayasinghe, J. A. S. B.; Wang, Z. D.; Jarman, P. N.; Darwin, A. W.",IEEE; 1999,2006
,36,Static Electrification in Power Transformers: Chemical Modelling of the Charge Transfer at the Oil-Pressboard Interface,"Moreau, O.; Augier, F.; Touchard, G.",Laplachian Press,1998
,37,YN/VD connected balance transformer-based hybrid power quality compensator for harmonic suppression and reactive power compensation of electrical railway power systems,"Cui, Guiping; Luo, Longfu; Li, Yong; Liang, Chonggan; Hu, Sijia; Xie, Bin; Xu, Jiazhu; Zhang, Zhiwen; Liu, Yuxing; Wang, Tao","Elsevier Science B.V., Amsterdam.",2019
,38,VCO utilising bilaterally coupled transformer-based resonator,"Yen, T.-A.; Wang, T.; Feng, W.-S.",IET,2013
,39,A 190 GHz VCO with Transformer-Based Push–Push Frequency Doubler in 40 nm CMOS,"Liu, Yibo; Mao, Luhong; Xie, Sheng; Chi, Baoyong",Springer Nature,2018
,40,Frequency and Polarization Transformer: Transverse Modes: II Finite Rise Time,"Khalifeh, A. F.; Eker, S.; Kalluri, D. K.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2007
,41,Time-Domain Specification of Transformer-Coupled Transceivers,"Kinnaird, C.; Parton, A.",IEEE,2007
,42,Health indexes for power transformers: a case study,"Ortiz, F.; Fernandez, I.; Ortiz, A.; Renedo, C. J.; Delgado, F.; Fernandez, C.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,43,A Method of Designing Transformer-Type Controllable Shunting Reactors,"Aleksandrov, G. N.",MOSCOW POWER INSTITUTE,1998
,44,VSC with a T-connected transformer-based electronic load controller for an isolated asynchronous generator feeding three-phase four-wire loads in a micro hydro system,"Kasal, G.K.; Singh, B.",Inderscience Publishers,2011
,45,High Power Piezoelectric Transformers-Their Applications to Smart Actuator Systems-,"Uchino, K.",AMERICAN PHYSICAL SOCIETY,2003
,46,"Three Phase Switchable Distribution Transformers: Economics, Plus a Fuzzy Logic Control and Condition Monitoring System","Kiefer, R. H.; Ali, S. A. M.","Acta Press,",2003
,47,COMM-L10.1: CMOS INTEGRATED TRANSFORMER-FEEDBACK Q-ENHANCED LC BANDPASS FILTER FOR WIRELESS RECEIVERS,"Gee, W.; Allen, P.",IEEE; 1999,2004
,48,Energy-Efficient Dry-Type Distribution Transformers: New Opportunities to Cut Energy Bills and Lock-in Long-Term Energy Savings,"DeLaski, A.; Suozzo, M.",unknown,1998
,49,"Conserver, Strategist or Transformer: the experiences of postgraduate student sojourners","Kiley, M.",CARFAX PUBLISHING,2003
,50,High temperature superconducting demonstrator transformer: design considerations and first test results,J.K. Sykulski ; K.F. Goddard ; R.L. Stoll,Published by the Institute of Electrical and Electronics Engineers for the Magnetics Group,1999
,51,CMOS 1.98¿5.58 GHz transformer-based VCO with current-reused topology,"Fan, X.; Li, B.; Wang, Z.",IET,2013
,52,Modular Power Electronic Transformers: Modular Multilevel Converter Versus Cascaded H-Bridge Solutions,"Briz, F.; Lopez, M.; Rodriguez, A.; Arias, M.",IEEE,2016
,53,A High Gain Transformer-Less DC-DC Converter for Fuel-Cell Applications,"Palma, L.; Todorovic, M. H.; Enjeti, P.",unknown,2005
,54,Better Performance with Transformer: CPPFormer in the PrecisePrediction of Cell-penetrating Peptides,"Xue, Yuyang; Ye, Xiucai; Wei, Lesong; Zhang, Xin; Sakurai, Tetsuya; Wei, Leyi",Bentham Science Publishers Ltd,2022
,55,Coupling capacitor voltage transformer: A model for electromagnetic transient studies,"Fernandes, D.; Neves, W. L.; Vasconcelos, J. C.","Elsevier Science B.V., Amsterdam.",2007
,56,GaN-based split phase transformer-less PV inverter with auxiliary ZVT circuit,"Xia, Yinglai; Roy, Jinia; Ayyanar, Raja",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2020
,57,Thermal performance of power transformers: thermal calculation tools focused on new operating requirements,"Tanguy, A.; Patelli, J. P.; Devaux, F.; Taisne, J. P.; Ngnegueu, T.","Paris:; Cigre,",2004
,58,A modified cascade transformer-based multilevel inverter and its efficient switching function,"Kang, F. s.","Elsevier Science B.V., Amsterdam.",2009
,59,Nanotechnology applications for electrical transformers—A review,"Contreras, J.E.; Rodriguez, E.A.; Taha-Tijerina, J.","Elsevier Science B.V., Amsterdam.",2017
,60,Evaluation of Power Transformers' Effective Hot-Spot Factors by Thermal Modeling of Scrapped Units,"Feng, D.; Wang, Z.; Jarman, P.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,61,Some Reliability Properties of Transformed-Transformer Family of Distributions,"Hazra, Nil Kamal; Kundu, Pradip; Nanda, Asok K.",Taylor & Francis,2019
,62,Analysis and Design of Transformer-Based Dual-Band VCO for Software-Defined Radios,"Rong, S.; Luong, H.C.",IEEE,2012
,63,Ultrasaturation Phenomenon in Power Transformers-Myths and Reality,"Wiszniewski, A.; Rebizant, W.; Bejmert, D.; Schiel, L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2008
,64,Recovery Behaviors of the Transformer-Type SFCL With or Without Neutral Lines,"Choi, H.-S.; Lee, J.-H.; Cho, Y.-S.; Park, H.-M.",IEEE,2009
,65,Feedback Isolation by Piezoelectric Transformers: Comparison of Amplitude to Frequency Modulation,"Lineykin, S.; Ben-Yaakov, S.",unknown,2004
,66,A 10‐mW 3.9‐dB NF transformer‐based V‐band low‐noise amplifier in 65‐nm CMOS,"Yu, Yiming; Wu, Yunqiu; Zhao, Chenxi; Liu, Huihua; Ban, Yongling; Kang, Kai","John Wiley & Sons, Ltd",2020
,67,Copper losses of flyback transformer: search for analytical expressions,C. Larouci ; J.-P. Keradec ; J.-P. Ferrieux ; L. Gerbaud ; J. Roudet,Published by the Institute of Electrical and Electronics Engineers for the Magnetics Group,2003
,68,Design of low-phase-noise CMOS transformer-based gate-coupled quadrature VCO,"Yi, S.; Tsang, K. F.; Wah, C. L.; Faan, H. H.; Triantis, I. F.; Kai, X.",IET,2014
,69,LLC Converters With Planar Transformers: Issues and Mitigation,"Saket,  M. A.; Shafiei,  N.; Ordonez,  M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,70,A 42&#x2013;62 GHz Transformer-Based Broadband mm-Wave InP PA With Second-Harmonic Waveform Engineering and Enhanced Linearity,"Liu, Zheng; Sharma, Tushar; Chappidi, Chandrakanth Reddy; Venkatesh, Suresh; Yu, Yiming; Sengupta, Kaushik",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,71,Flow electrification in power transformers: study of a potential remedy,"Bourgeois, A.; Mortha, G.; Paillat, T.; Touchard, G.; Moreau, O.; Bertrand, Y.",IEEE; 1999,2006
,72,A High Performance Transformer-Type Wilkinson Power Splitter with Compensating Circuit for CATV Transmission System and Its Optimal Design Method,"Kim, D. I.; Jung, S. W.; Yun, Y.",IEEE; 1999,2004
,73,A Wide-Tuning Dual-Band Transformer-Based Complementary VCO,"Yun, S. J.; Lee, H. D.; Kim, K. D.; Lee, S. G.; Kwon, J. K.",THE INSTITUTE OF ELECTRICAL ENGINEERS,2010
,74,Microwave‐based sensor for power transformers' insulation oil monitoring,"Benaissa, Mohamed Amine; Mokraoui, Amine; Moulai, Hocine; Idir, Omar",IET,2019
,75,Two‐way speaker with transformer‐coupled split coil,"Nagel,Martin J.",Acoustical Society of America,1981
,76,YN/VD connected balance transformer‐based electrical railway negative sequence current compensation system with passive control scheme,"Xie, Bin; Zhang, Zhiwen; Hu, Sijia; Li, Yong; Luo, Longfu; Sun, Shubo",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2016
,77,6A-3 FREQUENCY AND POLARIZATION TRANSFORMER: A SWITCHED MAGNETOPLASMA MEDIUM IN A CAVITY,"Kalluri, D.K.",New York; Curran,2010
,78,Highly efficient GaN HEMTs transformer-less single-phase inverter for grid-tied fuel cell [10381-9],unknown,The Society,2017
,79,A Photovoltaic Array Transformer-Less Inverter With Film Capacitors and Silicon Carbide Transistors,"Breazeale, Lloyd Caleb; Ayyanar, Rajapandian",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,80,Investigation on the Transformer-Rectifier Flux Pump for High Field Magnets,"Li, Chao",IEEE,2019
,81,A Family of Transformer-Less Single-Switch Dual-Inductor High Voltage Gain Boost Converters With Reduced Voltage and Current Stresses,"Qin, Ling; Zhou, Lei; Hassan, Waqas; Soon, John Long; Tian, Min; Shen, Jiapeng",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,82,A Low-Power 26-GHz Transformer-Based Regulated Cascode SiGe BiCMOS Transimpedance Amplifier,"Li, C.; Palermo, S.",IEEE; 1998,2013
,83,Flow Electrification in Transformers: Relevance of ECT and Leakage Current Measurements,"Paillat, T.; Mas, P.; Moreau, O.; Touchard, G.",IEEE; 1999,2003
,84,Ferroresonance in electromagnetic voltage transformers: A study based on nonlinear dynamics,"Emin, Z",Institution of Electrical Engineers,1997
,85,Flow Electrification in Power Transformers: Study of a Potential Remedy,"Bourgeois, A.; Paillat, T.; Mortha, G.; Moreau, O.; Bertrand, Y.; Touchard, G.","IEEE,",2005
,86,Maternal provision of transformer-2 is required for female development and embryo viability in the wasp Nasonia vitripennis,"Geuverink, Elzemiek; Rensink, Anna H.; Rondeel, Inge; Beukeboom, Leo W.; van de Zande, Louis; Verhulst, Eveline C.","Elsevier Science B.V., Amsterdam.",2017
,87,Demodulators for linear differential transformers/,"Lipshutz,J",McGraw-Hill Pub. Co.,1960
,88,Load Tap Change Transformers: A Modeling Reminder,"Barboza, L. V.","THE IEEE, INC.",2001
,89,Power enhancement of single‐phase transformer‐less grid‐connected cascaded half‐bridge diode clamped inverter under partial shaded photovoltaic,"Rao, Pandry Narendra; Saini, Lalit Mohan",John Wiley & Sons Ltd,2021
,90,Flow electrification in power transformers: salt-type additive as a potential remedy?,"Bourgeois, A.; Paillat, T.; Moreau, O.; Mortha, G.; Touchard, G.","Elsevier Science B.V., Amsterdam.",2005
,91,A 0.2-V Three-Winding Transformer-Based DCO in 16-nm FinFET CMOS,"Li, Chao-Chieh; Yuan, Min-Shueh; Lin, Yu-Tso; Liao, Chia-Chun; Chang, Chih-Hsien; Staszewski, Robert Bogdan",IEEE,2020
,92,Frequency and Polarization Transformer: Transverse Modes: I Zero Rise Time,"Kalluri, D. K.; Khalifeh, A. F.; Eker, S.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2007
,93,A Novel High-Frequency Transformer-Linked Soft-Switching Half-Bridge DC-DC Converter With Constant-Frequency Asymmetrical PWM Scheme,"Mishima, T.; Nakaoka, M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2009
,94,Design of a New Transformer-Isolated Analog Acquisition System,"Minteer, T.M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2009
,95,From Refugee to Transformer: A Bourdieusian Take on a Hmong Learner's Trajectory,"De Costa, P.I.",TESOL (TEACHERS OF ENGLISH TO SPEAKERS OF OTHER,2010
,96,A Single-Phase Five-Level Transformer-Less PV Inverter for Leakage Current Reduction,"Zhu, Xiaonan; Wang, Hongliang; Zhang, Wenyuan; Wang, Hanzhe; Deng, Xiaojun; Yue, Xiumei",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,97,Video-distribution amplifier eliminates interstage transformers/,"Naidich,H.H",McGraw-Hill Pub. Co.,1961
,98,Two of the three Transformer-2 genes are required for ovarian development in Aedes albopictus,"Li, Xiaocong; Jin, Binbin; Dong, Yunqiao; Chen, Xiaoguang; Tu, Zhijian; Gu, Jinbao","Elsevier Science B.V., Amsterdam.",2019
,99,SOLID-STATE CONTROL FOR TRANSFORMER-TAP CHANGING,"Bauer, P.;de Haan, S. W. H.;Paap, G. C.",Technical University of Budapest,1996
,100,Extremely High-Q Stacked Transformer-Type Inductors for RF Applications,"Lim, S. F.; Yeo, K. S.; Ma, J. G.; Do, M. A.; Chew, K. W.; Chu, S. F.",IEEE; 1999,2003
,1,"Solid‐state transformers: An overview of the concept, topology, and its applications in the smart grid","Shadfar, Hamed; Ghorbani Pashakolaei, Mehrdad; Akbari Foroud, Asghar",John Wiley & Sons Ltd,2021
,2,The Transformers: Lean manufacturing can benefit medium-size and larger companies by improving productivity and reducing quality problems and lead times,unknown,CTE PUBLICATIONS INC,2008
,3,A Transformer-Combined 31.5 dBm Outphasing Power Amplifier in 45 nm LP CMOS With Dynamic Power Control for Back-Off Power Efficiency Enhancement,"Tai, W.; Xu, H.; Ravi, A.; Lakdawala, H.; Bochobza-Degani, O.; Carley, L. R.; Palaskas, Y.",IEEE; 1998,2012
,4,Rust Transformers/Rust Compatible Primers,unknown,N A S A,1992
,5,Business transformer: British Aluminium profitable,"McKinnon, I.",MORGAN-GRAMPIAN (PUBLISHERS) LTD,1997
,6,Micromachined Transformer-Type Tunable Inductor for RF/Microwave Applications,Guo-Hua Feng; Tsung-Hsin Huang,American Scientific Publishers,2012
,7,Piezoelectric transformer: Comparison between a model and an analytical verification,"Boukazouha, F.; Boubenider, F.","Elsevier Science B.V., Amsterdam.",2008
,8,Simplified transformer-based multilevel inverter topology and generalisations for renewable energy applications,"Behara, S.; Sandeep, N.; Yaragatti, U. R.",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2018
,9,Solid-State Transformers: On the Origins and Evolution of Key Concepts,"Huber, J.; Kolar, J.",IEEE,2016
,10,Wavelet Transform-Based Impulse Fault Pattern Recognition in Distribution Transformers,"Purkait, P.; Chakravorti, S.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2003
,11,A Transformer-Heater System with a Non-Traditional Short-Circuited Secondary Circuit,"Yelshin, A. I.",MOSCOW POWER INSTITUTE,2000
,12,``Chemical Transformers'' from Nanoparticle Ensembles Operated with Logic,"Motomov, M.; Zhou, J.; Pita, M.; Gopishetty, V.; Tokarev, I.; Katz, E.; Minko, S.",American Chemical Society,2008
,13,A transformer-coupled LC-tank injection locked frequency divider,"Jang, S.-L.; Chen, Fei-Hung; Huang, Jhin-Fang",Wiley,2008
,14,The Transformers: The transition to a new administration could offer chief information officers a chance to shift from an operations role to a strategic one,"Noyes, A.","NATIONAL JOURNAL, INC.",2008
,15,A Transformer-Based Poly-Phase Network for Ultra-Broadband Quadrature Signal Generation,"Park, J. S.; Wang, H.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
,16,Power Transformer: Moisture Management,unknown,IEEMA,2021
,17,A Transformer-Based 3-dB Differential Coupler,"Wang, Y.; Ma, K.; Mou, S.",IEEE,2018
,18,Trear: Transformer-Based RGB-D Egocentric Action Recognition,"Li, Xiangyu; Hou, Yonghong; Wang, Pichao; Gao, Zhimin; Xu, Mingliang; Li, Wanqing",IEEE,2022
,19,Technology Transformer: Nationwide's enterprise CTO Srinivas Koushik drives competitive edge through the use of emerging technologies,"Vinson, T. S.; Neimeyer, G. J.",A MILLER FREEMAN PUBLICATION,2003
,20,Frequency Transformer: Appropriate and Different Models for a Building-up and Collapsing Magnetoplasma Medium,"Lade, R. K.; Lee, J. H.; Kalluri, D. K.",Springer Science + Business Media,2011
,21,Multiwinding Transformers: A Successive Refinement Method to Characterize a General Equivalent Circuit,"Schellmans, A.; Berrouche, K.; Keradec, J.-P.",IEEE,1999
,22,“Monstrous transformer”: Petrofiction and world literature,"Macdonald, Graeme",Taylor & Francis,2017
,23,A Transformer-Based Current-Reuse QVCO With an FoM Up to &#x2212;200.5 dBc/Hz,"Wang, P.; Su, G.; Chang, Y.; Chang, D.; Hsu, S. S.",IEEE,2018
,24,Double-Ended Transformer-Based Multi-Phase Converters,"Guo, J.",IEEE,2003
,25,A Transformer-Less High-Power Converter for Large Permanent Magnet Wind Generator Systems,"Yuan, X.; Chai, J.; Li, Y.",IEEE,2012
,26,Current Transformers' Saturation Detection and Compensation Based on Instantaneous Flux Density Calculations,"Fallahi, A.; Ramezani, N.; Ahmadi, I.",JUGOSLOVENSKI SAVEZ ZA ELEKTRONIKU I TELEKOMUNIKACIJE AUTOMATIZACIJU I NUKLEARNU TEHNIKU (ETAN),2016
,27,Dual-band transformer-coupled quadrature injection-locked frequency dividers,"Jang, S. L.; Yang, R. K.; Chang, C. W.; Juang, M. H.; Liu, C. C.","John Wiley & Sons, Ltd",2011
,28,Cascaded Transformers-Based Multilevel Inverters With NPC,"Monteiro, Amanda Pereira; Bahia, Filipe Antonio da Costa; Jacobina, Cursino Brandao; Sousa, Reuben Palmer Rezende de",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,29,"Multi-Winding Transformer-Based Diode Clamping Multilevel Inverter, Experimental Results","Esfandiari, E.; Mesrinejad, F.; Mariun, N.B.",WORLD SCIENTIFIC CO. PTE. LTD.,2013
,30,A transformer-loaded variable-gain LNA for 24-GHz vehicular short-range radar,"Ragonese, E.; Scuderi, A.; Palmisano, G.","John Wiley & Sons, Ltd",2008
,31,Low‐power transformer‐based current‐reuse injection‐locked frequency divider,"Ha, Keum‐Won; Sung, Eun‐Taek; Baek, Donghyun",IET,2015
,32,HTS Transformer&#x2013;Rectifier Flux Pump Optimization,unknown,IEEE,2019
,33,Multisecondary Transformer: A Modeling Technique for Simulation,"Patel, A.; Singh, N.P.; Raval, B.; Roy, A.; Thakar, A.; Parmar, D.; Dhola, H.; Dave, R.; Gajjar, S.; Gupta, V.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2012
,34,The Transformer: Can you apply the same tricks you use to market indie films that you do for tentpoles? Paramount's co-president of marketing Megan Colligan says yes,"Ebenkamp, B.",ASM COMMUNICATIONS INC,2009
,35,Crystalline transformers: more within than meets the eye,"Falvello, Larry R.",John Wiley & Sons Ltd,2018
,36,A Transformer-Less Load-Modulated (TLLM) Architecture for Efficient Wideband Power Amplifiers,"Akbarpour, M.; Helaoui, M.; Ghannouchi, F. M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2012
,37,"""Ecological"" transformer-type plasmatron","Kulumbaev, E. B.",AMERICAN INSTITUTE OF PHYSICS,1998
,38,High-frequency transformer-assisted quasi-resonant DC link three phase ZVS-PWM inverter and its evaluations,"Yonemori, H.; Suemasu, T.; Nakaoka, M.; Hayashi, K.",Institution of Electrical Engineers,1994
,39,Smart Transformer-Enabled Meshed Hybrid Distribution Grid,"Das, Dwijasish; Hrishikesan, V. M.; Kumar, Chandan; Liserre, Marco",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,40,A Transformer-Isolated Common-Mode Active EMI Filter Without Additional Components on Power Lines,"Jeong, Sangyeong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,41,Wheel Transformer: A Wheel-Leg Hybrid Robot With Passive Transformable Wheels,"Yoo-Seok, K.; Gwang-Pil, J.; Haan, K.; Kyu-Jin, C.; Chong-Nam, C.",IEEE,2014
,42,Novel transformer-type adjustable reactor based on two-port network control,"Tian, J.; Chen, Q.; Zhang, Y.",IET,2012
,43,Power transformers: From specs to installation,unknown,MCGRAW-HILL DATA SERVICES,2000
,44,A transformer‐less single‐switch boost converter with high‐voltage gain and mitigated‐voltage stress applicable for photovoltaic utilizations,"Hu, Dongping; Yin, Aihua; Ghaderi, Davood",John Wiley & Sons Ltd,2020
,45,A Transformer-Less Inverter using Buck-Boost Type Chopper Circuit for Photovoltaic Power System,"Kasa, N.;Ogawa, H.;Iida, T.;Iwamoto, H.",IEEE,1999
,46,Low-phase-noise transformer-based top-series QVCO using GaInP/GaAs HBT technology,"Meng, C. C.; Tseng, S. C.; Chang, Y. W.; Su, J. Y.; Huang, G. W.","John Wiley & Sons, Ltd",2007
,47,A Transformer-Less Voltage Equalizer for Energy Storage Cells Based on Double-Tiered Multi-Stacked Converters,"Fan, Yuanliang; Fang, Luebin; Xu, Mengran; Wu, Han; Zhou, Zheng; Liu, Bingqian; Lin, Shuang; Wang, Yu",IEEE,2021
,48,A Transformer-Less Unified Power Quality Conditioner with Fast Dynamic Control,"Cheung, V. S.; Yeung, R. S.; Chung, H. S.; Lo, A. W.; Wu, W.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,49,A Transformer-neutralized 0.6 V V                                               DD                       17–29 GHz LNA and its application to an RF front-end,"Kundu, S.",Springer Science + Business Media,2015
,50,Power transformers’ condition monitoring using neural modeling and the local statistical approach to fault diagnosis,"Rigatos, G.; Siano, P.","Elsevier Science B.V., Amsterdam.",2016
,51,Power transformers' condition monitoring using neural modeling and the local statistical approach to fault diagnosis,"Rigatos, G.; Siano, P.","Elsevier Science B.V., Amsterdam.",2016
,52,"The Transformer: Principles of Making Isotype Charts by Marie Neurath and Robin Kinross; From Hieroglyphics to Isotype: A Visual Autobiography by Otto Neurath, edited by Matthew Eve and Christopher Burke","O Neill, J.",MASSACHUSETTS INSTITUTE OF TECHNOLOGY PRESS,2011
,53,Instrument transformers.,"Cook, Warren H.",unknown,1970
,54,A Transformer-Less High-Gain Inverter With Step-Up/Down and Single Energy-Processing Features,"Chang, Chien-Hsuan; Ho, Kuan-Han",IEEE,2021
,55,Delta/Fork-Connected Transformer-Based 72-Pulse AC–DC Converter for Power Quality Improvement,"Abdollahi, R.",Taylor & Francis,2017
,56,"The Transformers: Tech, Science and math savvy young professionals inject innovation and reset the system","Robinson, T.M.",CDS,2010
